"Prod_ID","M1","M2","P1","P2","P3","C1","C2","P4","P5","P6","Y"
1001435,25,"K","A","C","D",111.494,32.382,"C","C","B",3
1001436,25,"E","A","B","D",114.162,28.025,"A","A","D",0
1001437,25,"U","A","B","B",110.197,24.358,"B","B","B",4
1001438,25,"U","A","B","B",114.303,27.304,"C","C","A",0
1001439,15,"U","A","C","B",106.173,26.234,"A","A","C",0
1001440,20,"U","A","B","A",109.248,29.064,"C","C","A",1
1001441,20,"K","A","C","C",108.829,30.616,"C","C","B",0
1001442,25,"U","A","A","C",106.565,29.935,"C","C","D",0
1001443,20,"E","B","B","A",104.512,29.089,"B","B","B",0
1001444,20,"K","A","A","C",108.297,30.98,"B","B","D",0
1001445,20,"E","B","B","A",110.188,28.662,"C","C","B",0
1001446,15,"U","A","B","B",108.201,28.667,"C","C","B",0
1001447,20,"E","A","C","A",110.378,30.614,"A","A","D",5
1001448,25,"U","A","C","A",110.485,25.931,"A","A","C",1
1001449,15,"U","A","C","A",107.945,28.098,"A","A","A",1
1001450,25,"E","A","B","A",121.854,28.057,"A","A","C",1
1001451,20,"E","B","C","A",111.256,26.643,"A","A","C",1
1001452,15,"U","A","B","B",105.466,26.95,"A","A","D",0
1001453,20,"K","A","C","C",106.072,30.013,"B","B","C",1
1001454,15,"U","A","C","B",110.837,25.977,"A","A","D",2
1001455,15,"E","A","A","C",113.542,30.126,"A","A","A",4
1001456,15,"K","A","B","C",115.676,27.956,"A","A","A",2
1001457,15,"U","A","C","A",106.422,29.169,"B","B","A",0
1001458,15,"E","A","C","C",108.202,29.187,"A","A","A",5
1001459,20,"U","A","A","A",109.754,26.473,"B","B","D",4
1001460,20,"E","A","C","A",113.227,28.446,"B","C","A",0
1001461,15,"U","A","B","B",113.047,31.023,"C","C","D",0
1001462,15,"E","A","C","C",107.944,31.423,"C","C","C",0
1001463,25,"E","A","A","A",106.866,26.846,"B","B","D",5
1001464,25,"U","B","B","C",112.055,29.263,"B","B","B",0
1001465,15,"E","A","A","A",118.057,30.729,"B","B","C",0
1001466,15,"U","A","B","B",106.064,29.671,"B","B","A",1
1001467,20,"E","A","A","A",112.204,28.652,"A","A","D",0
1001468,20,"K","A","A","B",109.202,30.113,"C","C","C",0
1001469,20,"E","A","B","A",104.072,30.664,"B","B","A",0
1001470,15,"U","A","B","B",108.289,30.457,"A","A","A",0
1001471,15,"K","A","C","C",103.161,30.494,"B","B","A",0
1001472,15,"K","A","C","C",115.108,28.918,"C","C","C",0
1001473,20,"E","A","C","A",106.356,27.897,"B","B","D",4
1001474,15,"U","A","A","A",114.847,26.664,"B","B","D",3
1001475,15,"E","A","C","D",110.496,30.766,"C","C","C",0
1001476,25,"E","A","A","A",111.177,29.015,"C","C","B",0
1001477,20,"U","A","A","B",123.075,30.473,"C","C","A",2
1001478,20,"E","A","A","D",112.343,29.789,"A","A","A",0
1001479,25,"E","A","C","A",105.179,30.876,"B","B","C",0
1001480,15,"U","A","C","A",114.289,29.24,"B","B","A",0
1001481,20,"U","B","A","C",108.89,30.559,"C","C","C",0
1001482,15,"E","A","B","A",118.013,29.713,"C","C","A",0
1001483,20,"U","A","B","B",107.788,31.232,"A","A","B",0
1001484,20,"U","A","A","A",113.929,28.833,"B","B","C",1
1001485,25,"K","A","A","C",106.198,31.56,"C","C","B",0
1001486,20,"K","B","C","D",105.615,30.387,"A","A","D",0
1001487,20,"E","A","A","C",104.051,28.445,"A","A","D",0
1001488,20,"U","A","C","B",111.165,31.294,"C","C","B",2
1001489,15,"U","A","B","C",112.238,29.681,"C","C","C",0
1001490,25,"E","A","B","D",111.073,29.969,"A","A","B",1
1001491,15,"U","A","A","A",112.213,27.169,"B","B","C",3
1001492,15,"K","A","C","C",109.206,30.173,"B","B","A",0
1001493,15,"U","B","C","B",105.863,29.886,"C","C","A",0
1001494,25,"E","A","A","D",110.06,29.688,"B","B","C",0
1001495,20,"E","A","A","D",107.245,30.892,"B","B","C",0
1001496,15,"E","B","A","A",104.687,30.819,"A","A","B",0
1001497,25,"U","A","B","A",111.967,31.136,"A","A","C",2
1001498,20,"K","A","A","C",104.67,29.149,"C","C","C",0
1001499,15,"E","A","A","A",116.369,29.929,"A","A","A",2
1001500,20,"E","A","A","A",107.19,30.516,"B","B","A",1
1001501,15,"E","A","C","D",106.628,29.908,"A","A","B",0
1001502,15,"E","A","A","A",104.641,31.288,"B","B","C",2
1001503,25,"E","A","C","C",112.363,28.431,"B","B","C",0
1001504,25,"U","A","B","B",110.814,29.466,"C","C","D",0
1001505,25,"U","A","B","B",103.885,30.109,"C","C","C",0
1001506,15,"K","A","B","D",107.869,32.097,"C","C","B",4
1001507,25,"U","A","C","B",109.063,29.692,"A","A","D",2
1001508,15,"U","A","A","B",111.234,31.096,"B","B","A",0
1001509,25,"E","A","C","A",109.718,29.316,"C","C","B",2
1001510,25,"K","A","C","B",108.012,29.845,"C","C","A",0
1001511,20,"E","A","C","A",111.818,29.706,"A","A","D",0
1001512,15,"U","A","B","C",117.295,29.088,"A","A","D",0
1001513,25,"K","A","B","C",106.551,35.487,"C","C","D",4
1001514,25,"E","A","C","C",114.579,28.532,"A","A","C",4
1001515,20,"E","A","C","A",114.853,30.255,"C","C","C",0
1001516,25,"E","A","C","A",106.545,33.699,"C","C","A",4
1001517,15,"U","A","C","A",102.163,28.714,"A","A","B",2
1001518,25,"U","A","B","B",110.554,29.689,"C","C","C",0
1001519,20,"U","A","A","B",111.208,31.482,"B","B","A",1
1001520,15,"U","A","A","B",110.428,29.663,"B","B","B",1
1001521,15,"K","A","B","D",116.268,29.715,"B","B","C",5
1001522,20,"K","A","B","D",110.923,28.778,"B","B","D",5
1001523,20,"K","A","A","C",104.586,30.797,"A","A","C",2
1001524,15,"U","A","B","B",121.697,29.57,"C","C","D",0
1001525,15,"U","A","B","B",106.475,28.719,"C","C","A",2
1001526,25,"U","A","B","C",111.165,28.632,"B","B","B",0
1001527,25,"E","A","B","A",107.191,28.907,"A","A","C",2
1001528,25,"K","B","C","D",110.818,31.161,"A","A","D",0
1001529,20,"E","A","C","A",111.583,28.915,"C","C","B",2
1001530,25,"K","A","C","C",108.898,30.151,"C","C","A",0
1001531,20,"U","A","A","A",114.53,31.305,"B","B","D",3
1001532,20,"U","B","A","B",109.458,32.033,"B","B","A",1
1001533,20,"E","A","A","A",107.852,30.774,"A","A","D",0
1001534,25,"K","A","A","B",104.342,30.469,"B","B","A",5
1001535,25,"U","A","B","B",113.49,29.729,"A","A","A",0
1001536,15,"U","A","B","B",114.488,32.698,"B","A","B",0
1001537,15,"U","A","B","A",106.966,32.888,"C","C","A",3
1001538,20,"K","A","A","D",106.554,29.233,"A","A","B",3
1001539,20,"U","A","C","A",112.122,30.891,"A","A","A",0
1001540,25,"K","A","C","C",104.269,32.802,"C","C","B",3
1001541,20,"K","A","A","C",107.321,30.386,"A","A","B",1
1001542,25,"E","B","B","D",112.848,30.365,"C","C","B",0
1001543,15,"E","A","B","A",118.691,28.732,"C","C","A",0
1001544,15,"E","A","C","C",108.766,30.636,"A","A","C",1
1001545,20,"U","B","A","B",115.464,32.563,"A","A","A",0
1001546,25,"E","A","C","A",107.324,33.023,"A","A","B",0
1001547,25,"K","A","C","B",115.109,34.91,"B","B","D",3
1001548,20,"K","A","C","C",112.024,31.201,"C","C","A",0
1001549,20,"E","A","A","A",106.965,29.063,"A","A","A",5
1001550,20,"E","A","C","D",105.553,38.635,"A","A","C",0
1001551,15,"E","A","C","A",107.559,36.872,"B","B","D",5
1001552,20,"U","A","C","B",123.34,28.739,"C","C","C",0
1001553,20,"E","A","C","D",103.101,30.447,"C","C","D",0
1001554,20,"U","A","B","B",106.106,34.907,"C","C","C",3
1001555,25,"K","A","A","D",112.38,35.65,"A","A","A",3
1001556,20,"U","A","C","B",104.612,30.535,"C","C","C",0
1001557,25,"K","A","C","C",104.685,31.748,"C","C","D",5
1001558,15,"K","A","B","D",104.73,33.859,"B","B","B",0
1001559,15,"U","A","C","C",108.204,32.2,"B","B","B",0
1001560,15,"K","A","A","D",106.29,32.803,"A","A","D",3
1001561,25,"E","A","A","D",105.333,31.795,"A","A","B",0
1001562,20,"K","A","C","C",105.454,32.133,"A","A","C",2
1001563,25,"K","B","C","C",106.181,32.842,"A","A","B",0
1001564,25,"U","A","C","B",111.758,29.718,"C","C","B",0
1001565,25,"E","A","A","D",104.135,35.097,"C","C","B",0
1001566,15,"E","A","A","D",109.105,34.943,"C","C","D",0
1001567,15,"E","B","B","D",113.173,32.627,"B","B","C",1
1001568,25,"K","A","C","D",108.06,34.056,"B","B","B",0
1001569,25,"E","A","C","D",108.482,36.725,"B","A","D",0
1001570,25,"E","A","B","D",105.485,33.054,"C","C","A",2
1001571,25,"E","A","B","D",119.297,32.32,"C","C","B",0
1001572,15,"U","A","B","B",109.32,35.766,"A","A","B",0
1001573,20,"K","A","C","C",115.528,31.894,"C","C","B",0
1001574,20,"E","A","A","D",111.007,32.451,"B","B","C",0
1001575,15,"K","A","C","D",104.011,32.665,"B","B","C",3
1001576,15,"E","A","A","D",106.799,33.262,"B","C","B",1
1001577,15,"U","A","C","B",108.446,32.478,"A","A","C",2
1001578,20,"K","A","B","D",104.288,35.488,"C","C","D",5
1001579,15,"E","A","C","C",105.939,32.633,"C","C","C",5
1001580,15,"E","A","C","D",112.927,32.543,"C","C","B",0
1001581,15,"E","A","A","D",116.803,33.349,"A","A","C",2
1001582,15,"U","A","B","B",113.187,34.835,"B","B","A",0
1001583,25,"E","A","B","D",103.895,32.242,"A","A","A",1
1001584,25,"U","A","A","A",104.844,32.563,"A","A","C",5
1001585,25,"U","A","B","B",110.825,32.342,"A","A","D",0
1001586,20,"U","B","C","C",107.571,35.035,"C","C","D",0
1001587,20,"E","A","A","D",110.728,34.474,"C","C","D",0
1001588,20,"U","B","C","B",117.508,32.961,"B","B","B",0
1001589,20,"E","B","C","D",106.648,38.19,"A","A","A",0
1001590,15,"E","A","C","D",110.716,32.371,"C","C","D",0
1001591,25,"U","A","A","B",108.014,33.269,"B","B","D",5
1001592,15,"E","A","C","D",115.153,31.652,"A","A","C",0
1001593,15,"E","A","B","D",114.593,33.89,"A","A","B",0
1001594,20,"U","A","A","B",105.724,33.251,"B","B","A",0
1001595,25,"E","A","A","A",109.783,32.054,"A","A","D",0
1001596,25,"E","A","C","D",103.754,34.769,"C","C","C",0
